timestamp,up_metrics,prometheus_build_info,prometheus_build_info_branch,prometheus_build_info_container,prometheus_build_info_endpoint,prometheus_build_info_goarch,prometheus_build_info_goos,prometheus_build_info_goversion,prometheus_build_info_instance,prometheus_build_info_job,prometheus_build_info_namespace,prometheus_build_info_pod,prometheus_build_info_revision,prometheus_build_info_service,prometheus_build_info_version,node_load1,node_memory_available,container_cpu_all,hour,day_of_week,is_weekend,up_metrics_rolling_10,up_metrics_rolling_30,up_metrics_rolling_120,prometheus_build_info_rolling_10,prometheus_build_info_rolling_30,prometheus_build_info_rolling_120,node_load1_rolling_10,node_load1_rolling_30,node_load1_rolling_120,node_memory_available_rolling_10,node_memory_available_rolling_30,node_memory_available_rolling_120,container_cpu_all_rolling_10,container_cpu_all_rolling_30,container_cpu_all_rolling_120,up_metrics_rate_of_change,up_metrics_rate_of_change_pct,prometheus_build_info_rate_of_change,prometheus_build_info_rate_of_change_pct,node_load1_rate_of_change,node_load1_rate_of_change_pct,node_memory_available_rate_of_change,node_memory_available_rate_of_change_pct,container_cpu_all_rate_of_change,container_cpu_all_rate_of_change_pct
2025-06-08 17:07:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.45,2084564992.0,0.00018153707309223385,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.45,2084564992.0,2084564992.0,2084564992.0,0.00018153707309223385,0.00018153707309223385,0.00018153707309223385,,,,,,,,,,
2025-06-08 17:07:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.915,2214471680.0,0.004195985965595539,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.6825,0.6825,0.6825,2149518336.0,2149518336.0,2149518336.0,0.002188761519343886,0.002188761519343886,0.002188761519343886,0.0,0.0,0.0,0.0,0.465,103.33333333333331,129906688.0,6.231836786022349,0.004014448892503305,2211.3658792238416
2025-06-08 17:08:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.81,2171686912.0,0.00522144100805303,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.725,0.725,0.725,2156907861.3333335,2156907861.3333335,2156907861.3333335,0.003199654682246934,0.003199654682246934,0.003199654682246934,0.0,0.0,0.0,0.0,-0.10499999999999998,-11.475409836065575,-42784768.0,-1.9320530664903357,0.0010254550424574913,24.438953105791626
2025-06-08 17:08:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.64,2132996096.0,0.0052825605609489595,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.70375,0.70375,0.70375,2150929920.0,2150929920.0,2150929920.0,0.0037203811519224404,0.0037203811519224404,0.0037203811519224404,0.0,0.0,0.0,0.0,-0.17000000000000004,-20.98765432098766,-38690816.0,-1.7816019328664612,6.111955289592966e-05,1.1705495245788455
2025-06-08 17:09:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.53,2147878912.0,0.003020352158892111,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.669,0.669,0.669,2150319718.4,2150319718.4,2150319718.4,0.003580375353316374,0.003580375353316374,0.003580375353316374,0.0,0.0,0.0,0.0,-0.10999999999999999,-17.1875,14882816.0,0.6977422991026438,-0.0022622084020568487,-42.8240883555619
2025-06-08 17:09:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.61,2148065280.0,0.0018010337862225474,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.6591666666666667,0.6591666666666667,0.6591666666666667,2149943978.6666665,2149943978.6666665,2149943978.6666665,0.0032838184254674035,0.0032838184254674035,0.0032838184254674035,0.0,0.0,0.0,0.0,0.07999999999999996,15.094339622641506,186368.0,0.0086768392276948,-0.0012193183726695634,-40.37007304197333
2025-06-08 17:10:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.45499999999999996,2140598272.0,0.0015091315108462149,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.63,0.63,2148608877.714286,2148608877.714286,2148608877.714286,0.003030291723378662,0.003030291723378662,0.003030291723378662,0.0,0.0,0.0,0.0,-0.15500000000000003,-25.409836065573778,-7467008.0,-0.34761550635928895,-0.00029190227537633255,-16.207484701803544
2025-06-08 17:10:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.33499999999999996,2127331328.0,0.0015390766012174026,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.593125,0.593125,0.593125,2145949184.0,2145949184.0,2145949184.0,0.0028438898331085045,0.0028438898331085045,0.0028438898331085045,0.0,0.0,0.0,0.0,-0.12,-26.37362637362638,-13266944.0,-0.6197773853010013,2.994509037118772e-05,1.984259831298374
2025-06-08 17:11:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.335,2119376896.0,0.0013861993248804434,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5644444444444444,0.5644444444444444,0.5644444444444444,2142996707.5555556,2142996707.5555556,2142996707.5555556,0.0026819242210831644,0.0026819242210831644,0.0026819242210831644,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.220446049250313e-14,-7954432.0,-0.3739159902034772,-0.00015287727633695922,-9.93305181925539
2025-06-08 17:11:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.52,2109188096.0,0.0012538101013935298,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5599999999999999,0.5599999999999999,0.5599999999999999,2139615846.4,2139615846.4,2139615846.4,0.002539112809114201,0.002539112809114201,0.002539112809114201,0.0,0.0,0.0,0.0,0.185,55.223880597014926,-10188800.0,-0.4807450727253748,-0.00013238922348691355,-9.550518537320151
2025-06-08 17:12:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.445,2107650048.0,0.0013382989264883593,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5595,0.5495454545454546,0.5495454545454546,2141924352.0,2136709864.7272727,2136709864.7272727,0.0026547889944538135,0.00242994791069367,0.00242994791069367,0.0,0.0,0.0,0.0,-0.07500000000000001,-14.423076923076927,-1538048.0,-0.07292132944031193,8.448882509482945e-05,6.738566310873195
2025-06-08 17:12:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.855,2089392128.0,0.002227435641524973,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5535,0.5750000000000001,0.5750000000000001,2129416396.8,2132766720.0,2132766720.0,0.002457933962046757,0.002413071888262945,0.002413071888262945,0.0,0.0,0.0,0.0,0.41,92.13483146067416,-18257920.0,-0.8662690477162172,0.0008891367150366139,66.43782621642474
2025-06-08 17:13:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.225,2075600896.0,0.0038442386386377246,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.595,0.625,0.625,2119807795.2,2128369348.9230769,2128369348.9230769,0.0023202137251052265,0.0025231616382917744,0.0025231616382917744,0.0,0.0,0.0,0.0,0.3700000000000001,43.2748538011696,-13791232.0,-0.6600595367036832,0.0016168029971127514,72.58584566806323
2025-06-08 17:13:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.085,2059401216.0,0.005282720361550438,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.6395,0.6578571428571429,0.6578571428571429,2112448307.2,2123443053.7142856,2123443053.7142856,0.002320229705165375,0.0027202729756673934,0.0027202729756673934,0.0,0.0,0.0,0.0,-0.14000000000000012,-11.428571428571432,-16199680.0,-0.7804814514784209,0.0014384817229127138,37.41915781332623
